policy_number,agency,county,construction_type,roof_type,construction_year,square_footage,public_protection_class,house_value
1330,A,Santa Clara,Fire Resistive,Tile,1986 to 1999,4000 and Above,7,$1.6M to $2M
1331,C,Alameda,Frame,Shingle,2000 and After,Below 1500,7,$400K to $800K
1332,D,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,1,$1.2M to $1.6M
1333,J,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,5,$1.2M to $1.6M
1334,A,Contra Costa,Frame,Metal,1986 to 1999,Between 3000 and 4000,3,$400K to $800K
1335,H,Solano,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,1,$1.2M to $1.6M
1336,I,Alameda,Non-Combustible Masonry,Tile,1986 to 1999,Between 1500 and 3000,1,$1.2M to $1.6M
1337,H,San Francisco,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,7,$1.2M to $1.6M
1338,H,San Mateo,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,7,$800K to $1.2M
1339,H,Contra Costa,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,1,$800K to $1.2M
1340,H,Alameda,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,10,$800K to $1.2M
1341,H,San Mateo,Fire Resistive,Shingle,1985 and Before,4000 and Above,7,$800K to $1.2M
1342,G,San Mateo,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,3,$1.6M to $2M
1343,D,San Mateo,Fire Resistive,Shingle,1985 and Before,4000 and Above,6,$400K to $800K
1344,C,Contra Costa,Frame,Tile,1985 and Before,Between 1500 and 3000,6,$800K to $1.2M
1345,H,Contra Costa,Frame,Tile,2000 and After,Between 1500 and 3000,4,$1.2M to $1.6M
1346,A,Alameda,Non-Combustible Masonry,Wood,2000 and After,Below 1500,1,$800K to $1.2M
1347,B,Santa Clara,Non-Combustible Masonry,Metal,1986 to 1999,4000 and Above,10,$400K to $800K
1348,C,Contra Costa,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,2,$1.6M to $2M
1349,J,Solano,Fire Resistive,Wood,2000 and After,Below 1500,9,$1.6M to $2M
1350,E,San Francisco,Fire Resistive,Wood,2000 and After,Below 1500,1,$1.2M to $1.6M
1351,J,Santa Clara,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,2,$800K to $1.2M
1352,E,Marin,Fire Resistive,Tile,1985 and Before,Below 1500,10,$800K to $1.2M
1353,B,Alameda,Frame,Wood,1986 to 1999,Between 1500 and 3000,3,Less than $400K
1354,E,San Mateo,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,8,$1.6M to $2M
1355,B,San Mateo,Fire Resistive,Wood,2000 and After,Below 1500,2,$1.6M to $2M
1356,H,Santa Clara,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,3,$1.2M to $1.6M
1357,B,Sonoma,Fire Resistive,Tile,1985 and Before,Below 1500,5,Less than $400K
1358,C,San Mateo,Fire Resistive,Shingle,1985 and Before,4000 and Above,5,Less than $400K
1359,H,Solano,Frame,Metal,1985 and Before,Between 1500 and 3000,1,$1.2M to $1.6M
1360,G,San Mateo,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,9,Less than $400K
1361,A,San Mateo,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,10,Less than $400K
1362,I,Solano,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,6,$1.6M to $2M
1363,J,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,4000 and Above,9,$1.6M to $2M
1364,E,San Mateo,Frame,Shingle,1986 to 1999,Between 1500 and 3000,7,$1.6M to $2M
1365,I,Santa Clara,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,7,$1.6M to $2M
1366,I,Sonoma,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,1,$1.2M to $1.6M
1367,E,San Francisco,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,8,$400K to $800K
1368,G,Alameda,Frame,Shingle,2000 and After,4000 and Above,3,$1.6M to $2M
1369,C,Santa Clara,Fire Resistive,Shingle,1985 and Before,4000 and Above,3,$1.6M to $2M
1370,G,Alameda,Frame,Tile,1985 and Before,4000 and Above,5,Less than $400K
1371,B,San Mateo,Non-Combustible Masonry,Wood,2000 and After,4000 and Above,2,Less than $400K
1372,A,Santa Clara,Frame,Shingle,2000 and After,Between 1500 and 3000,1,$1.2M to $1.6M
1373,E,Alameda,Frame,Metal,2000 and After,4000 and Above,4,$1.6M to $2M
1374,G,Alameda,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,6,$800K to $1.2M
1375,C,San Mateo,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,7,$800K to $1.2M
1376,C,Santa Clara,Fire Resistive,Shingle,1985 and Before,Below 1500,4,$1.6M to $2M
1377,G,Alameda,Fire Resistive,Wood,1986 to 1999,Below 1500,3,$400K to $800K
1378,E,Alameda,Frame,Wood,1985 and Before,4000 and Above,7,$400K to $800K
1379,D,Santa Clara,Fire Resistive,Metal,1985 and Before,Below 1500,6,Less than $400K
1380,D,Contra Costa,Frame,Shingle,2000 and After,4000 and Above,4,$800K to $1.2M
1381,G,Santa Clara,Fire Resistive,Wood,1985 and Before,Between 3000 and 4000,4,Less than $400K
1382,D,Santa Clara,Frame,Metal,1985 and Before,Between 1500 and 3000,5,Less than $400K
1383,D,San Francisco,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,5,$1.6M to $2M
1384,F,Sonoma,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,5,$1.2M to $1.6M
1385,H,Alameda,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,2,$1.6M to $2M
1386,C,Contra Costa,Frame,Wood,1985 and Before,Below 1500,4,$400K to $800K
1387,J,San Francisco,Fire Resistive,Shingle,1985 and Before,Below 1500,4,$800K to $1.2M
1388,A,Sonoma,Fire Resistive,Metal,2000 and After,4000 and Above,8,$800K to $1.2M
1389,E,Alameda,Non-Combustible Masonry,Wood,2000 and After,Below 1500,3,$1.2M to $1.6M
1390,G,San Mateo,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,4,Less than $400K
1391,G,Santa Clara,Frame,Wood,2000 and After,Between 3000 and 4000,8,Less than $400K
1392,G,San Francisco,Frame,Tile,1986 to 1999,4000 and Above,2,$400K to $800K
1393,E,Santa Clara,Frame,Tile,1985 and Before,Below 1500,2,$1.6M to $2M
1394,E,Contra Costa,Frame,Shingle,2000 and After,Below 1500,10,$400K to $800K
1395,D,San Francisco,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,5,Less than $400K
1396,D,San Francisco,Frame,Shingle,1985 and Before,Between 1500 and 3000,5,$400K to $800K
1397,G,Alameda,Frame,Wood,1986 to 1999,Below 1500,2,$800K to $1.2M
1398,I,San Francisco,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,8,$1.2M to $1.6M
1399,I,Alameda,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,7,$1.6M to $2M
1400,F,Alameda,Frame,Tile,2000 and After,Between 1500 and 3000,8,$1.6M to $2M
1401,G,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,1,$1.6M to $2M
1402,G,Alameda,Frame,Shingle,1986 to 1999,4000 and Above,3,$1.2M to $1.6M
1403,F,Contra Costa,Non-Combustible Masonry,Wood,2000 and After,4000 and Above,5,$1.6M to $2M
1404,G,Santa Clara,Fire Resistive,Shingle,2000 and After,Between 1500 and 3000,9,$800K to $1.2M
1405,I,Contra Costa,Frame,Metal,1986 to 1999,Between 1500 and 3000,5,$1.6M to $2M
1406,G,Alameda,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,7,$800K to $1.2M
1407,C,San Mateo,Frame,Tile,1985 and Before,Below 1500,10,$1.2M to $1.6M
1408,F,Solano,Frame,Tile,1985 and Before,Between 3000 and 4000,10,$1.6M to $2M
1409,F,Contra Costa,Frame,Wood,2000 and After,Between 1500 and 3000,10,Less than $400K
1410,B,Alameda,Frame,Metal,1986 to 1999,Between 1500 and 3000,6,$1.2M to $1.6M
1411,H,Marin,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,7,$1.2M to $1.6M
1412,I,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,4,Less than $400K
1413,F,Solano,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,1,$400K to $800K
1414,J,San Mateo,Frame,Metal,1986 to 1999,4000 and Above,4,$800K to $1.2M
1415,A,Solano,Fire Resistive,Metal,1986 to 1999,Below 1500,8,Less than $400K
1416,A,San Francisco,Frame,Tile,1985 and Before,Below 1500,5,$800K to $1.2M
1417,F,San Francisco,Fire Resistive,Tile,2000 and After,4000 and Above,7,$400K to $800K
1418,E,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,1,$800K to $1.2M
1419,C,Alameda,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,2,$1.2M to $1.6M
1420,E,Sonoma,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,6,Less than $400K
1421,B,Santa Clara,Frame,Tile,1986 to 1999,Between 1500 and 3000,5,$1.2M to $1.6M
1422,C,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,4000 and Above,2,Less than $400K
1423,F,San Mateo,Non-Combustible Masonry,Shingle,2000 and After,Below 1500,2,$400K to $800K
1424,A,Contra Costa,Non-Combustible Masonry,Metal,2000 and After,Below 1500,6,Less than $400K
1425,H,Alameda,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,4,$1.2M to $1.6M
1426,J,Sonoma,Frame,Tile,1985 and Before,Between 3000 and 4000,2,Less than $400K
1427,G,Alameda,Fire Resistive,Tile,2000 and After,Below 1500,8,$400K to $800K
1428,D,Marin,Frame,Metal,1986 to 1999,Below 1500,4,Less than $400K
1429,F,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,9,$800K to $1.2M
1430,J,Alameda,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,1,$800K to $1.2M
1431,B,Sonoma,Frame,Tile,1985 and Before,Between 3000 and 4000,2,Less than $400K
1432,A,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,10,$800K to $1.2M
1433,B,Contra Costa,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,4,$800K to $1.2M
1434,G,Santa Clara,Frame,Tile,2000 and After,Below 1500,5,$400K to $800K
1435,B,San Mateo,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,3,Less than $400K
1436,B,San Mateo,Frame,Tile,1986 to 1999,Between 1500 and 3000,3,$1.6M to $2M
1437,F,Solano,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,5,$1.2M to $1.6M
1438,D,San Mateo,Fire Resistive,Wood,2000 and After,Below 1500,7,$1.2M to $1.6M
1439,F,Contra Costa,Frame,Shingle,1986 to 1999,4000 and Above,5,$800K to $1.2M
1440,D,Contra Costa,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,7,Less than $400K
1441,F,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,Between 1500 and 3000,8,$1.2M to $1.6M
1442,H,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,4000 and Above,5,$1.6M to $2M
1443,I,Alameda,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,4,$800K to $1.2M
1444,F,San Mateo,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,4,Less than $400K
1445,D,Contra Costa,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,9,$1.6M to $2M
1446,I,Sonoma,Frame,Wood,2000 and After,Below 1500,8,$800K to $1.2M
1447,A,Alameda,Fire Resistive,Wood,1985 and Before,Between 3000 and 4000,9,$1.2M to $1.6M
1448,J,Alameda,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,9,$800K to $1.2M
1449,H,Alameda,Frame,Metal,1985 and Before,Between 1500 and 3000,4,$1.2M to $1.6M
1450,H,San Mateo,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,6,Less than $400K
1451,E,Alameda,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,3,Less than $400K
1452,A,San Francisco,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,4,Less than $400K
1453,D,Santa Clara,Frame,Metal,2000 and After,4000 and Above,1,$1.2M to $1.6M
1454,J,Alameda,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,3,$1.6M to $2M
1455,I,Alameda,Frame,Shingle,1985 and Before,4000 and Above,7,$400K to $800K
1456,G,Contra Costa,Frame,Wood,1985 and Before,4000 and Above,3,$1.6M to $2M
1457,H,Alameda,Fire Resistive,Metal,1985 and Before,Between 3000 and 4000,5,$1.6M to $2M
1458,G,San Mateo,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,10,$1.6M to $2M
1459,G,Alameda,Frame,Shingle,2000 and After,4000 and Above,7,$1.2M to $1.6M
1460,D,Contra Costa,Frame,Tile,1985 and Before,Below 1500,2,$1.6M to $2M
1461,C,San Francisco,Frame,Wood,2000 and After,Between 1500 and 3000,5,Less than $400K
1462,I,San Francisco,Fire Resistive,Tile,1985 and Before,4000 and Above,8,$1.2M to $1.6M
1463,A,Contra Costa,Non-Combustible Masonry,Tile,1986 to 1999,Between 1500 and 3000,6,Less than $400K
1464,A,Alameda,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,6,$1.2M to $1.6M
1465,G,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,5,$1.2M to $1.6M
1466,B,Marin,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,9,$800K to $1.2M
1467,I,Sonoma,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,2,$1.2M to $1.6M
1468,C,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,2,Less than $400K
1469,D,Sonoma,Fire Resistive,Metal,1986 to 1999,Below 1500,2,$400K to $800K
1470,I,Alameda,Fire Resistive,Wood,1985 and Before,4000 and Above,4,$1.2M to $1.6M
1471,D,Contra Costa,Fire Resistive,Tile,1986 to 1999,Below 1500,3,$400K to $800K
1472,E,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,7,$400K to $800K
1473,I,Sonoma,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,3,Less than $400K
1474,G,Santa Clara,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,1,$800K to $1.2M
1475,B,Santa Clara,Fire Resistive,Shingle,2000 and After,4000 and Above,3,$400K to $800K
1476,B,San Francisco,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,2,$1.6M to $2M
1477,J,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,4,Less than $400K
1478,C,Santa Clara,Frame,Shingle,2000 and After,Between 3000 and 4000,1,$400K to $800K
1479,G,Santa Clara,Frame,Tile,2000 and After,Between 3000 and 4000,1,$800K to $1.2M
1480,G,Santa Clara,Frame,Shingle,1985 and Before,4000 and Above,6,$1.6M to $2M
1481,B,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,9,$800K to $1.2M
1482,D,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,2,$400K to $800K
1483,J,Solano,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,6,$1.6M to $2M
1484,G,San Francisco,Non-Combustible Masonry,Wood,2000 and After,Below 1500,10,$400K to $800K
1485,D,San Mateo,Fire Resistive,Shingle,1985 and Before,4000 and Above,10,$400K to $800K
1486,F,Alameda,Fire Resistive,Shingle,1985 and Before,4000 and Above,1,$1.6M to $2M
1487,A,Santa Clara,Frame,Wood,1985 and Before,Between 3000 and 4000,7,$1.2M to $1.6M
1488,D,Solano,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,5,$800K to $1.2M
1489,F,Contra Costa,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,7,$1.6M to $2M
1490,I,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,1,$1.6M to $2M
1491,F,San Mateo,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,1,Less than $400K
1492,I,Contra Costa,Frame,Shingle,1986 to 1999,Between 1500 and 3000,2,Less than $400K
1493,C,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,4000 and Above,7,Less than $400K
1494,D,San Mateo,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,4,$1.2M to $1.6M
1495,H,San Mateo,Fire Resistive,Metal,2000 and After,4000 and Above,9,$400K to $800K
1496,E,Alameda,Frame,Shingle,1985 and Before,4000 and Above,10,Less than $400K
1497,E,San Mateo,Fire Resistive,Wood,1986 to 1999,Below 1500,8,$400K to $800K
1498,G,Solano,Frame,Metal,1985 and Before,Below 1500,10,Less than $400K
1499,B,San Francisco,Frame,Shingle,1986 to 1999,Between 3000 and 4000,3,$1.6M to $2M
1500,A,Alameda,Non-Combustible Masonry,Metal,2000 and After,Below 1500,1,$800K to $1.2M
1501,J,Santa Clara,Frame,Shingle,1985 and Before,Between 1500 and 3000,5,$1.6M to $2M
1502,E,Solano,Fire Resistive,Tile,1986 to 1999,Below 1500,9,$1.6M to $2M
1503,C,Contra Costa,Non-Combustible Masonry,Metal,1986 to 1999,4000 and Above,3,$1.2M to $1.6M
1504,C,Sonoma,Frame,Shingle,2000 and After,Below 1500,1,$1.6M to $2M
1505,J,Solano,Frame,Metal,2000 and After,Between 3000 and 4000,7,Less than $400K
1506,C,Solano,Frame,Wood,1986 to 1999,4000 and Above,1,$800K to $1.2M
1507,I,Alameda,Fire Resistive,Metal,1986 to 1999,Below 1500,5,Less than $400K
1508,H,Santa Clara,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,8,$1.6M to $2M
1509,C,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,10,$800K to $1.2M
1510,B,San Mateo,Frame,Shingle,1986 to 1999,4000 and Above,9,$1.2M to $1.6M
1511,B,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,2,$1.6M to $2M
1512,C,Contra Costa,Fire Resistive,Tile,1986 to 1999,4000 and Above,3,$1.2M to $1.6M
1513,F,Contra Costa,Non-Combustible Masonry,Shingle,1986 to 1999,4000 and Above,5,Less than $400K
1514,H,San Mateo,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,5,$1.6M to $2M
1515,J,Santa Clara,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,5,$800K to $1.2M
1516,I,Contra Costa,Non-Combustible Masonry,Metal,1986 to 1999,Between 3000 and 4000,4,$400K to $800K
1517,C,Contra Costa,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,1,$800K to $1.2M
1518,H,Alameda,Non-Combustible Masonry,Tile,2000 and After,Below 1500,6,Less than $400K
1519,F,Alameda,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,10,Less than $400K
1520,F,San Francisco,Frame,Wood,1986 to 1999,4000 and Above,9,Less than $400K
1521,E,Contra Costa,Fire Resistive,Shingle,2000 and After,Between 1500 and 3000,3,$800K to $1.2M
1522,H,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,2,$1.2M to $1.6M
1523,J,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,8,$800K to $1.2M
1524,I,Santa Clara,Frame,Tile,1986 to 1999,Between 1500 and 3000,10,$400K to $800K
1525,G,Santa Clara,Frame,Tile,1985 and Before,4000 and Above,3,Less than $400K
1526,B,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,3,$400K to $800K
1527,B,San Francisco,Frame,Wood,1985 and Before,4000 and Above,1,$400K to $800K
1528,E,Sonoma,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,7,$800K to $1.2M
1529,E,Sonoma,Frame,Metal,1985 and Before,Between 1500 and 3000,4,$1.6M to $2M
1530,J,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,4,$400K to $800K
1531,G,San Francisco,Frame,Shingle,2000 and After,4000 and Above,8,Less than $400K
1532,G,San Francisco,Frame,Shingle,2000 and After,Between 1500 and 3000,6,$1.6M to $2M
1533,C,San Mateo,Fire Resistive,Tile,2000 and After,Below 1500,7,$400K to $800K
1534,B,Alameda,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,2,Less than $400K
1535,A,Contra Costa,Fire Resistive,Shingle,2000 and After,Below 1500,9,$1.6M to $2M
1536,G,Contra Costa,Frame,Tile,1986 to 1999,Between 3000 and 4000,6,$800K to $1.2M
1537,D,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,1,$800K to $1.2M
1538,J,Sonoma,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,9,$1.6M to $2M
1539,J,Santa Clara,Frame,Wood,2000 and After,Between 1500 and 3000,4,$1.2M to $1.6M
1540,H,Sonoma,Fire Resistive,Tile,1985 and Before,Below 1500,3,$800K to $1.2M
1541,I,Solano,Fire Resistive,Tile,1986 to 1999,4000 and Above,8,$1.2M to $1.6M
1542,H,San Mateo,Frame,Wood,1985 and Before,4000 and Above,3,$800K to $1.2M
1543,A,Alameda,Frame,Metal,1985 and Before,4000 and Above,8,$1.6M to $2M
1544,C,Contra Costa,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,8,Less than $400K
1545,C,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,6,Less than $400K
1546,E,Contra Costa,Frame,Wood,1985 and Before,4000 and Above,4,$1.6M to $2M
1547,C,Alameda,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,8,Less than $400K
1548,H,Solano,Fire Resistive,Tile,2000 and After,4000 and Above,5,$1.6M to $2M
1549,B,Contra Costa,Frame,Shingle,1985 and Before,Between 1500 and 3000,10,$800K to $1.2M
1550,J,Solano,Frame,Shingle,1985 and Before,Between 1500 and 3000,4,$800K to $1.2M
1551,I,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,Between 1500 and 3000,8,$1.6M to $2M
1552,J,Alameda,Non-Combustible Masonry,Wood,2000 and After,Below 1500,6,$1.6M to $2M
1553,C,Contra Costa,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,10,$1.6M to $2M
1554,B,Contra Costa,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,10,$1.2M to $1.6M
1555,A,Alameda,Frame,Metal,1986 to 1999,Between 1500 and 3000,2,$400K to $800K
1556,A,Santa Clara,Frame,Metal,1985 and Before,Between 1500 and 3000,4,$800K to $1.2M
1557,B,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,10,$400K to $800K
1558,A,Sonoma,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,8,$800K to $1.2M
1559,F,Santa Clara,Fire Resistive,Shingle,2000 and After,Below 1500,9,$1.2M to $1.6M
1560,A,Sonoma,Non-Combustible Masonry,Metal,1986 to 1999,Between 3000 and 4000,1,Less than $400K
1561,A,Contra Costa,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,8,Less than $400K
1562,H,Alameda,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,7,Less than $400K
1563,C,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,3,$800K to $1.2M
1564,J,Sonoma,Fire Resistive,Tile,2000 and After,4000 and Above,10,$800K to $1.2M
1565,H,Alameda,Non-Combustible Masonry,Shingle,2000 and After,Below 1500,4,$1.2M to $1.6M
1566,A,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Between 1500 and 3000,3,$1.2M to $1.6M
1567,D,Alameda,Frame,Wood,1985 and Before,Between 3000 and 4000,2,$400K to $800K
1568,G,Solano,Fire Resistive,Shingle,1986 to 1999,4000 and Above,6,$800K to $1.2M
1569,I,Sonoma,Fire Resistive,Shingle,1986 to 1999,4000 and Above,6,$800K to $1.2M
1570,A,Santa Clara,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,7,$800K to $1.2M
1571,C,Solano,Non-Combustible Masonry,Shingle,2000 and After,Below 1500,7,$400K to $800K
1572,D,San Mateo,Fire Resistive,Shingle,1986 to 1999,4000 and Above,1,$800K to $1.2M
1573,H,Alameda,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,9,$1.2M to $1.6M
1574,G,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,6,Less than $400K
1575,J,San Francisco,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,9,$800K to $1.2M
1576,G,San Francisco,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,9,$800K to $1.2M
1577,C,Alameda,Frame,Shingle,2000 and After,Below 1500,5,$1.2M to $1.6M
1578,C,Contra Costa,Fire Resistive,Wood,1986 to 1999,Below 1500,9,Less than $400K
1579,J,San Francisco,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,9,Less than $400K
1580,C,Contra Costa,Frame,Wood,1985 and Before,Between 1500 and 3000,8,$1.6M to $2M
1581,C,Alameda,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,10,$1.6M to $2M
1582,I,Santa Clara,Frame,Wood,1985 and Before,Between 3000 and 4000,4,$1.2M to $1.6M
1583,F,San Mateo,Frame,Shingle,2000 and After,Between 1500 and 3000,6,Less than $400K
1584,F,San Mateo,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,2,Less than $400K
1585,F,Alameda,Frame,Shingle,1985 and Before,Between 1500 and 3000,8,$1.6M to $2M
1586,A,Santa Clara,Frame,Shingle,1986 to 1999,Between 1500 and 3000,4,$800K to $1.2M
1587,A,Alameda,Frame,Shingle,2000 and After,Below 1500,7,$800K to $1.2M
1588,D,San Francisco,Non-Combustible Masonry,Metal,2000 and After,Below 1500,4,$1.6M to $2M
1589,E,Contra Costa,Frame,Metal,2000 and After,Between 1500 and 3000,8,$1.2M to $1.6M
1590,E,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Below 1500,4,$1.6M to $2M
1591,G,Marin,Frame,Metal,1985 and Before,4000 and Above,1,Less than $400K
1592,B,San Francisco,Frame,Wood,2000 and After,4000 and Above,2,Less than $400K
1593,I,Contra Costa,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,1,$800K to $1.2M
1594,I,Alameda,Fire Resistive,Wood,2000 and After,Below 1500,9,$1.6M to $2M
1595,C,San Francisco,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,3,$1.6M to $2M
1596,F,Santa Clara,Frame,Metal,1986 to 1999,Between 3000 and 4000,3,$1.6M to $2M
1597,B,Solano,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,4,Less than $400K
1598,I,San Mateo,Frame,Wood,2000 and After,Between 1500 and 3000,9,$1.6M to $2M
1599,C,Sonoma,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,5,$1.6M to $2M
1600,I,Santa Clara,Frame,Shingle,2000 and After,Below 1500,3,$400K to $800K
1601,C,San Mateo,Fire Resistive,Wood,1985 and Before,Below 1500,9,$400K to $800K
1602,D,San Francisco,Frame,Wood,2000 and After,Between 3000 and 4000,5,$400K to $800K
1603,J,Santa Clara,Fire Resistive,Tile,1986 to 1999,4000 and Above,3,$1.6M to $2M
1604,F,Solano,Frame,Wood,2000 and After,4000 and Above,9,$1.2M to $1.6M
1605,B,Marin,Fire Resistive,Metal,1986 to 1999,Below 1500,9,$800K to $1.2M
