policy_number,agency,county,construction_type,roof_type,construction_year,square_footage,public_protection_class,house_value, claim_amounts 
4607,H,Sonoma,Fire Resistive,Metal,1985 and Before,4000 and Above,2,$1.6M to $2M," $191,756.64 "
4608,F,Alameda,Frame,Tile,2000 and After,Below 1500,1,$400K to $800K,
4609,D,Santa Clara,Frame,Shingle,1986 to 1999,Below 1500,6,Less than $400K,
4610,A,Contra Costa,Frame,Tile,1985 and Before,Between 3000 and 4000,9,$1.6M to $2M,
4611,I,Alameda,Fire Resistive,Shingle,1986 to 1999,Below 1500,2,Less than $400K,
4612,F,Santa Clara,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,4,$800K to $1.2M," $110,690.13 "
4613,A,San Mateo,Frame,Metal,1986 to 1999,4000 and Above,2,$1.2M to $1.6M,
4614,H,Santa Clara,Frame,Shingle,1986 to 1999,Between 3000 and 4000,4,$400K to $800K,
4615,A,San Francisco,Frame,Metal,1985 and Before,Between 3000 and 4000,8,$800K to $1.2M,
4616,D,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,2,$800K to $1.2M," $180,347.30 "
4617,A,Santa Clara,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,5,$1.6M to $2M,
4618,I,San Francisco,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,8,$1.6M to $2M,
4619,J,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,9,$400K to $800K," $103,470.75 "
4620,A,Contra Costa,Frame,Wood,1986 to 1999,Between 3000 and 4000,7,$800K to $1.2M,
4621,B,Contra Costa,Fire Resistive,Wood,1985 and Before,4000 and Above,9,$1.6M to $2M,
4622,A,Solano,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,10,$400K to $800K,
4623,E,Alameda,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,4,$400K to $800K," $136,935.73 "
4624,D,Sonoma,Fire Resistive,Tile,1985 and Before,Between 1500 and 3000,4,Less than $400K,
4625,D,Alameda,Frame,Shingle,1985 and Before,Between 1500 and 3000,2,$1.2M to $1.6M,
4626,J,Alameda,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,7,$400K to $800K,
4627,I,Marin,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,8,$400K to $800K,
4628,A,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,1,$400K to $800K," $124,125.87 "
4629,F,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,1,$800K to $1.2M," $168,849.31 "
4630,E,San Mateo,Fire Resistive,Shingle,2000 and After,4000 and Above,10,Less than $400K,
4631,I,Santa Clara,Fire Resistive,Metal,1986 to 1999,4000 and Above,4,Less than $400K,
4632,B,Solano,Frame,Tile,1986 to 1999,Between 3000 and 4000,3,$400K to $800K,
4633,A,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,7,$1.6M to $2M," $188,839.39 "
4634,A,Alameda,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,1,$800K to $1.2M,
4635,J,Sonoma,Frame,Metal,2000 and After,Below 1500,9,$400K to $800K,
4636,I,Alameda,Fire Resistive,Shingle,1985 and Before,Below 1500,10,$800K to $1.2M,
4637,G,San Francisco,Fire Resistive,Tile,2000 and After,Below 1500,10,$1.2M to $1.6M,
4638,A,Santa Clara,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,3,$1.2M to $1.6M,
4639,H,Santa Clara,Frame,Metal,2000 and After,Between 1500 and 3000,6,$1.2M to $1.6M,
4640,H,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,6,$800K to $1.2M,
4641,D,Solano,Fire Resistive,Wood,1985 and Before,Below 1500,8,Less than $400K,
4642,B,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,1,$400K to $800K,
4643,J,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,9,$1.6M to $2M,
4644,C,Marin,Frame,Metal,1986 to 1999,Below 1500,3,$400K to $800K,
4645,D,San Mateo,Frame,Shingle,2000 and After,Between 3000 and 4000,5,$400K to $800K," $88,877.45 "
4646,D,Sonoma,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,7,$400K to $800K," $214,095.53 "
4647,F,Alameda,Fire Resistive,Tile,1985 and Before,Below 1500,6,$400K to $800K," $120,300.42 "
4648,H,Alameda,Frame,Tile,1986 to 1999,Between 3000 and 4000,3,$800K to $1.2M," $203,149.53 "
4649,G,Sonoma,Frame,Shingle,1986 to 1999,4000 and Above,7,Less than $400K," $49,728.55 "
4650,J,Santa Clara,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,5,$1.6M to $2M,
4651,D,Contra Costa,Fire Resistive,Wood,1985 and Before,Between 3000 and 4000,7,$1.6M to $2M,
4652,B,Santa Clara,Fire Resistive,Wood,1986 to 1999,4000 and Above,8,Less than $400K,
4653,A,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,3,$400K to $800K," $86,017.61 "
4654,C,San Mateo,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,8,$1.2M to $1.6M,
4655,B,Contra Costa,Frame,Metal,1985 and Before,Below 1500,1,$800K to $1.2M,
4656,B,San Francisco,Fire Resistive,Shingle,1986 to 1999,Below 1500,4,Less than $400K,
4657,A,Contra Costa,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,5,$1.2M to $1.6M,
4658,A,Santa Clara,Fire Resistive,Shingle,2000 and After,Between 1500 and 3000,1,$1.6M to $2M,
4659,H,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,8,$800K to $1.2M,
4660,H,San Francisco,Non-Combustible Masonry,Metal,2000 and After,Below 1500,4,$800K to $1.2M,
4661,H,Sonoma,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,1,$400K to $800K,
4662,I,Alameda,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,1,Less than $400K," $87,796.59 "
4663,A,San Francisco,Frame,Shingle,1986 to 1999,Between 1500 and 3000,2,$400K to $800K,
4664,H,Marin,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,5,$1.2M to $1.6M," $124,171.61 "
4665,E,Contra Costa,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,10,$400K to $800K,
4666,G,San Francisco,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,7,Less than $400K,
4667,A,Santa Clara,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,3,$1.2M to $1.6M,
4668,H,San Mateo,Frame,Shingle,1986 to 1999,4000 and Above,1,$400K to $800K,
4669,J,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Below 1500,5,$400K to $800K,
4670,F,Alameda,Frame,Wood,1985 and Before,4000 and Above,10,$800K to $1.2M,
4671,B,Sonoma,Fire Resistive,Wood,2000 and After,Below 1500,9,$1.6M to $2M,
4672,C,Santa Clara,Frame,Wood,2000 and After,Between 3000 and 4000,5,$1.6M to $2M,
4673,I,Solano,Frame,Shingle,1986 to 1999,4000 and Above,5,$1.2M to $1.6M," $186,073.06 "
4674,H,San Mateo,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,5,$400K to $800K,
4675,I,San Francisco,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,9,$800K to $1.2M,
4676,G,Sonoma,Fire Resistive,Tile,1985 and Before,4000 and Above,6,$1.6M to $2M," $152,689.63 "
4677,J,San Francisco,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,3,$800K to $1.2M," $93,804.88 "
4678,E,San Mateo,Non-Combustible Masonry,Metal,1986 to 1999,Between 3000 and 4000,7,$1.6M to $2M,
4679,I,Santa Clara,Frame,Wood,2000 and After,Below 1500,5,$400K to $800K,
4680,I,Santa Clara,Fire Resistive,Shingle,1985 and Before,4000 and Above,9,$800K to $1.2M,
4681,B,Alameda,Fire Resistive,Wood,2000 and After,Below 1500,6,$800K to $1.2M," $169,109.84 "
4682,G,San Mateo,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,9,$1.2M to $1.6M,
4683,F,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,2,$400K to $800K,
4684,E,Alameda,Frame,Shingle,1985 and Before,Below 1500,4,$400K to $800K," $123,301.24 "
4685,E,Contra Costa,Fire Resistive,Shingle,2000 and After,4000 and Above,1,$1.2M to $1.6M,
4686,G,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,4,$800K to $1.2M,
4687,J,Santa Clara,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,8,$800K to $1.2M,
4688,D,Alameda,Frame,Shingle,1986 to 1999,Below 1500,7,Less than $400K," $58,569.69 "
4689,A,Santa Clara,Frame,Tile,1985 and Before,4000 and Above,1,$1.2M to $1.6M,
4690,H,Santa Clara,Frame,Shingle,1985 and Before,Below 1500,9,Less than $400K," $44,300.91 "
4691,D,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,1,$400K to $800K," $106,734.74 "
4692,A,San Mateo,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,5,$1.6M to $2M,
4693,B,San Mateo,Frame,Tile,1985 and Before,Below 1500,3,$1.2M to $1.6M,
4694,E,Alameda,Frame,Metal,1986 to 1999,Between 3000 and 4000,7,$400K to $800K,
4695,F,Sonoma,Frame,Shingle,1985 and Before,Below 1500,1,$400K to $800K,
4696,G,San Francisco,Frame,Shingle,1986 to 1999,Between 1500 and 3000,6,$800K to $1.2M,
4697,J,Alameda,Non-Combustible Masonry,Metal,2000 and After,Below 1500,7,$1.6M to $2M,
4698,E,Santa Clara,Frame,Shingle,1986 to 1999,4000 and Above,3,$1.6M to $2M,
4699,A,Napa,Frame,Wood,1985 and Before,Below 1500,3,$800K to $1.2M," $128,789.96 "
4700,E,Solano,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,6,$1.2M to $1.6M,
4701,I,San Mateo,Frame,Wood,1986 to 1999,4000 and Above,6,$1.2M to $1.6M,
4702,J,Alameda,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,6,Less than $400K,
4703,J,San Mateo,Fire Resistive,Wood,1986 to 1999,Below 1500,9,$1.6M to $2M,
4704,C,Alameda,Fire Resistive,Shingle,1986 to 1999,4000 and Above,5,$1.2M to $1.6M," $191,811.87 "
4705,H,San Mateo,Fire Resistive,Tile,2000 and After,4000 and Above,9,$1.6M to $2M,
4706,E,Marin,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,9,$1.6M to $2M," $162,567.91 "
4707,J,Santa Clara,Frame,Tile,2000 and After,Below 1500,2,$800K to $1.2M,
4708,E,Alameda,Frame,Metal,1985 and Before,Below 1500,6,$800K to $1.2M," $185,388.63 "
4709,F,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,1,$800K to $1.2M,
4710,C,Alameda,Non-Combustible Masonry,Wood,2000 and After,4000 and Above,6,$1.2M to $1.6M," $216,117.47 "
4711,J,Alameda,Fire Resistive,Wood,1986 to 1999,4000 and Above,5,Less than $400K,
4712,B,Alameda,Frame,Tile,1986 to 1999,Below 1500,5,Less than $400K,
4713,F,Alameda,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,5,$400K to $800K,
4714,C,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,1,Less than $400K,
4715,D,Sonoma,Frame,Wood,1986 to 1999,Below 1500,1,Less than $400K,
4716,H,Solano,Fire Resistive,Shingle,1986 to 1999,Below 1500,8,$800K to $1.2M,
4717,C,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,6,$400K to $800K,
4718,E,Solano,Frame,Tile,1985 and Before,Below 1500,9,$1.6M to $2M,
4719,F,Sonoma,Frame,Metal,1985 and Before,4000 and Above,4,Less than $400K,
4720,D,San Mateo,Frame,Metal,1986 to 1999,Between 3000 and 4000,5,$400K to $800K,
4721,A,San Mateo,Frame,Shingle,1985 and Before,4000 and Above,6,$1.2M to $1.6M," $123,141.80 "
4722,C,Alameda,Fire Resistive,Shingle,1986 to 1999,Below 1500,9,$400K to $800K,
4723,B,Alameda,Frame,Wood,1985 and Before,Between 1500 and 3000,9,$400K to $800K,
4724,C,San Francisco,Fire Resistive,Shingle,1985 and Before,4000 and Above,7,$400K to $800K," $78,792.80 "
4725,H,San Francisco,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,1,$1.6M to $2M,
4726,C,Alameda,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,9,$400K to $800K,
4727,H,Alameda,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,2,$1.2M to $1.6M,
4728,D,Santa Clara,Fire Resistive,Shingle,1985 and Before,4000 and Above,8,$800K to $1.2M,
4729,H,San Mateo,Frame,Tile,1986 to 1999,Between 3000 and 4000,4,$1.6M to $2M," $154,162.14 "
4730,F,Alameda,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,10,$1.6M to $2M," $216,219.61 "
4731,C,San Francisco,Fire Resistive,Tile,2000 and After,Below 1500,10,$400K to $800K,
4732,E,Santa Clara,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,2,$800K to $1.2M,
4733,E,Alameda,Fire Resistive,Metal,1985 and Before,4000 and Above,4,$400K to $800K,
4734,B,Alameda,Frame,Tile,1985 and Before,Below 1500,3,Less than $400K," $56,859.36 "
4735,E,Santa Clara,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,1,$1.6M to $2M," $204,656.15 "
4736,D,Contra Costa,Frame,Wood,1986 to 1999,Between 3000 and 4000,6,Less than $400K," $41,743.67 "
4737,D,San Francisco,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,8,$800K to $1.2M,
4738,C,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,1,$400K to $800K,
4739,E,Solano,Frame,Tile,1986 to 1999,Between 3000 and 4000,2,$1.6M to $2M,
4740,J,Sonoma,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,6,$800K to $1.2M," $132,660.35 "
4741,B,San Francisco,Fire Resistive,Wood,2000 and After,Below 1500,3,$800K to $1.2M," $88,854.46 "
4742,G,San Francisco,Frame,Shingle,1985 and Before,Below 1500,9,$1.2M to $1.6M,
4743,F,Contra Costa,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,8,Less than $400K,
4744,I,Santa Clara,Frame,Tile,2000 and After,Between 3000 and 4000,6,$800K to $1.2M,
4745,E,Alameda,Frame,Tile,1985 and Before,Between 1500 and 3000,4,$800K to $1.2M,
4746,A,San Mateo,Frame,Tile,1986 to 1999,Below 1500,3,Less than $400K," $35,375.18 "
4747,J,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,8,$800K to $1.2M," $187,920.29 "
4748,E,Solano,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,8,$1.6M to $2M,
4749,C,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,6,$1.6M to $2M,
4750,B,Alameda,Frame,Wood,1986 to 1999,Between 3000 and 4000,10,Less than $400K,
4751,C,San Mateo,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,1,Less than $400K,
4752,H,Santa Clara,Frame,Metal,2000 and After,Between 3000 and 4000,1,$1.6M to $2M," $162,509.22 "
4753,I,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,10,$800K to $1.2M," $171,029.20 "
4754,G,Santa Clara,Frame,Tile,2000 and After,Between 1500 and 3000,10,$1.6M to $2M,
4755,C,Solano,Frame,Tile,1985 and Before,Below 1500,8,$1.2M to $1.6M," $210,996.18 "
4756,F,Alameda,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,9,Less than $400K," $74,451.26 "
4757,H,Santa Clara,Fire Resistive,Metal,1986 to 1999,Below 1500,4,$1.6M to $2M,
4758,C,San Francisco,Frame,Wood,1985 and Before,Between 1500 and 3000,1,$1.2M to $1.6M,
4759,E,Contra Costa,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,9,$800K to $1.2M," $104,321.15 "
4760,E,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,4000 and Above,9,Less than $400K," $58,997.02 "
4761,E,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,8,$1.2M to $1.6M,
4762,F,Alameda,Frame,Tile,1986 to 1999,Between 1500 and 3000,7,$400K to $800K," $134,020.36 "
4763,I,San Francisco,Frame,Wood,2000 and After,Between 3000 and 4000,8,$1.2M to $1.6M,
4764,E,Solano,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,9,$800K to $1.2M,
4765,B,Contra Costa,Frame,Shingle,1986 to 1999,Between 1500 and 3000,2,$800K to $1.2M," $115,766.11 "
4766,I,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,7,$400K to $800K,
4767,D,Solano,Fire Resistive,Shingle,1985 and Before,Below 1500,8,Less than $400K,
4768,B,San Mateo,Frame,Shingle,1985 and Before,Below 1500,10,$1.6M to $2M," $150,935.71 "
4769,G,Alameda,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,1,Less than $400K,
4770,A,Solano,Frame,Shingle,1986 to 1999,4000 and Above,10,$1.6M to $2M," $200,787.04 "
4771,F,Sonoma,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,2,$1.6M to $2M," $161,645.46 "
4772,H,Alameda,Frame,Wood,1985 and Before,Below 1500,8,$400K to $800K,
4773,B,San Mateo,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,7,$800K to $1.2M,
4774,J,Santa Clara,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,7,$400K to $800K,
4775,C,San Mateo,Frame,Shingle,1985 and Before,Below 1500,3,$1.2M to $1.6M," $148,662.56 "
4776,D,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Between 1500 and 3000,9,$1.6M to $2M,
4777,G,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,2,$1.6M to $2M,
4778,I,Alameda,Frame,Tile,1986 to 1999,Below 1500,7,Less than $400K," $90,040.44 "
4779,E,Santa Clara,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,3,$1.2M to $1.6M,
4780,J,San Mateo,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,7,Less than $400K,
4781,A,Marin,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,9,Less than $400K,
4782,D,Santa Clara,Non-Combustible Masonry,Metal,1986 to 1999,4000 and Above,5,$400K to $800K,
4783,C,Santa Clara,Frame,Shingle,2000 and After,Between 3000 and 4000,9,$1.2M to $1.6M,
4784,H,San Mateo,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,4,$800K to $1.2M,
4785,D,Santa Clara,Fire Resistive,Tile,1985 and Before,Between 1500 and 3000,1,$800K to $1.2M,
4786,B,Contra Costa,Frame,Metal,2000 and After,4000 and Above,9,$1.6M to $2M,
4787,J,Contra Costa,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,4,Less than $400K,
4788,C,San Mateo,Frame,Shingle,1986 to 1999,Between 1500 and 3000,10,$400K to $800K," $66,893.14 "
4789,C,San Mateo,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,4,Less than $400K,
4790,B,Contra Costa,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,7,$1.2M to $1.6M,
4791,F,Contra Costa,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,3,Less than $400K,
4792,C,Santa Clara,Frame,Wood,1985 and Before,Below 1500,1,$400K to $800K,
4793,A,San Mateo,Frame,Shingle,2000 and After,4000 and Above,10,$1.2M to $1.6M,
4794,A,Marin,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,3,Less than $400K,
4795,J,Solano,Fire Resistive,Metal,1985 and Before,4000 and Above,6,$1.6M to $2M," $197,066.62 "
4796,B,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,1,$400K to $800K,
4797,H,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,4000 and Above,5,$1.2M to $1.6M,
4798,J,Alameda,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,3,$400K to $800K," $152,762.52 "
4799,F,San Francisco,Frame,Shingle,1985 and Before,Between 1500 and 3000,7,$1.2M to $1.6M,
4800,B,San Francisco,Non-Combustible Masonry,Tile,1986 to 1999,Between 1500 and 3000,6,$1.2M to $1.6M,
4801,E,Santa Clara,Frame,Metal,1986 to 1999,Between 1500 and 3000,1,Less than $400K,
4802,F,Alameda,Frame,Shingle,2000 and After,Between 1500 and 3000,1,$400K to $800K,
4803,I,San Mateo,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,4,$1.6M to $2M,
4804,A,Alameda,Frame,Shingle,1986 to 1999,Between 1500 and 3000,3,$800K to $1.2M,
4805,F,Napa,Non-Combustible Masonry,Metal,1986 to 1999,Between 3000 and 4000,9,$1.2M to $1.6M," $223,471.10 "
4806,H,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,9,$800K to $1.2M,
4807,J,San Mateo,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,10,$1.6M to $2M,
4808,A,San Mateo,Fire Resistive,Tile,1986 to 1999,4000 and Above,3,$1.6M to $2M,
4809,A,Alameda,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,3,$1.6M to $2M,
4810,D,San Francisco,Fire Resistive,Shingle,2000 and After,Below 1500,8,$1.6M to $2M,
4811,I,San Mateo,Frame,Tile,1985 and Before,Between 1500 and 3000,4,$1.2M to $1.6M,
4812,E,Santa Clara,Non-Combustible Masonry,Metal,1986 to 1999,4000 and Above,2,$1.6M to $2M,
4813,D,Alameda,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,10,$1.2M to $1.6M,
4814,C,Sonoma,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,7,$400K to $800K,
4815,C,San Francisco,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,10,$400K to $800K,
4816,D,Sonoma,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,3,$1.6M to $2M,
4817,C,Contra Costa,Non-Combustible Masonry,Metal,1986 to 1999,4000 and Above,3,Less than $400K,
4818,G,Alameda,Fire Resistive,Metal,1986 to 1999,Below 1500,1,$400K to $800K,
4819,I,San Mateo,Frame,Wood,2000 and After,Below 1500,3,$1.6M to $2M,
4820,F,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,9,Less than $400K,
4821,H,Contra Costa,Frame,Wood,2000 and After,Below 1500,1,$400K to $800K,
4822,A,Alameda,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,8,$1.2M to $1.6M,
4823,B,Contra Costa,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,1,$400K to $800K," $87,266.83 "
4824,B,Sonoma,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,3,$1.6M to $2M,
4825,B,Marin,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,9,$1.2M to $1.6M,
4826,J,Sonoma,Frame,Shingle,1986 to 1999,Between 1500 and 3000,9,$1.2M to $1.6M,
4827,I,Contra Costa,Non-Combustible Masonry,Metal,1986 to 1999,4000 and Above,8,$1.6M to $2M,
4828,I,Napa,Fire Resistive,Shingle,1986 to 1999,Below 1500,3,Less than $400K,
4829,H,Contra Costa,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,6,Less than $400K,
4830,F,Alameda,Frame,Metal,2000 and After,Between 3000 and 4000,5,$400K to $800K,
4831,B,Santa Clara,Frame,Wood,1986 to 1999,Between 1500 and 3000,6,$400K to $800K,
4832,D,Alameda,Frame,Tile,1985 and Before,Below 1500,3,$1.6M to $2M,
4833,F,Contra Costa,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,8,$1.6M to $2M,
4834,C,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,6,$400K to $800K," $84,993.33 "
4835,C,Santa Clara,Frame,Wood,1986 to 1999,Between 1500 and 3000,7,$400K to $800K,
4836,C,Contra Costa,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,10,$400K to $800K,
4837,J,San Francisco,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,4,$800K to $1.2M,
4838,A,Santa Clara,Frame,Metal,1986 to 1999,Between 1500 and 3000,2,$800K to $1.2M,
4839,G,Marin,Frame,Tile,2000 and After,4000 and Above,5,$1.6M to $2M,
4840,D,Sonoma,Frame,Metal,2000 and After,4000 and Above,8,$1.6M to $2M,
4841,F,San Mateo,Frame,Metal,1986 to 1999,4000 and Above,3,Less than $400K,
4842,B,Marin,Frame,Shingle,1985 and Before,Below 1500,6,$400K to $800K,
4843,B,Contra Costa,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,3,Less than $400K,
4844,H,Santa Clara,Frame,Metal,2000 and After,Between 3000 and 4000,8,$1.6M to $2M,
4845,J,San Mateo,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,10,$1.2M to $1.6M,
4846,B,Solano,Frame,Metal,1986 to 1999,Between 1500 and 3000,6,$1.6M to $2M,
4847,A,San Francisco,Frame,Wood,1985 and Before,Between 1500 and 3000,4,$800K to $1.2M,
4848,E,Alameda,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,3,Less than $400K," $73,036.47 "
4849,H,Contra Costa,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,3,Less than $400K,
4850,F,Contra Costa,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,9,$800K to $1.2M,
4851,C,Santa Clara,Frame,Tile,1986 to 1999,Between 3000 and 4000,1,$1.2M to $1.6M,
4852,I,Sonoma,Frame,Metal,1985 and Before,4000 and Above,9,$800K to $1.2M,
4853,A,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,1,$1.2M to $1.6M,
4854,D,Contra Costa,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,3,Less than $400K,
4855,I,Alameda,Fire Resistive,Shingle,1986 to 1999,4000 and Above,2,Less than $400K,
4856,E,Alameda,Fire Resistive,Tile,1986 to 1999,Below 1500,5,$1.6M to $2M,
4857,F,San Mateo,Frame,Shingle,2000 and After,Below 1500,8,$1.6M to $2M,
4858,D,San Mateo,Fire Resistive,Tile,2000 and After,4000 and Above,8,Less than $400K," $54,276.02 "
4859,A,Santa Clara,Frame,Metal,1986 to 1999,Between 1500 and 3000,4,$400K to $800K,
4860,D,Santa Clara,Non-Combustible Masonry,Metal,1986 to 1999,Between 3000 and 4000,5,Less than $400K,
4861,C,Alameda,Frame,Metal,2000 and After,Between 1500 and 3000,1,$400K to $800K,
4862,B,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,Between 3000 and 4000,7,$800K to $1.2M,
4863,F,Santa Clara,Frame,Tile,1986 to 1999,Between 1500 and 3000,8,Less than $400K,
4864,E,Alameda,Frame,Wood,1985 and Before,Between 1500 and 3000,4,$1.2M to $1.6M," $233,211.77 "
4865,J,Alameda,Non-Combustible Masonry,Tile,2000 and After,Below 1500,8,$1.6M to $2M,
4866,A,Santa Clara,Fire Resistive,Shingle,1986 to 1999,4000 and Above,8,$800K to $1.2M,
4867,C,San Mateo,Frame,Tile,2000 and After,Between 3000 and 4000,10,$1.2M to $1.6M," $171,087.96 "
4868,H,Alameda,Fire Resistive,Metal,2000 and After,4000 and Above,4,$400K to $800K,
