policy_number,claim_date,claim_amount
6143,3/28/2016,180753.1032
15118,9/26/2014,180729.699
12867,2/19/2012,180710.8782
788,6/6/2011,180706.0022
20808,4/3/2013,180593.667
12399,3/7/2017,180583.4275
6738,11/11/2011,180485.8992
27786,8/6/2015,180431.295
24500,12/20/2013,180378.0548
4616,12/23/2017,180347.303
29598,8/16/2012,180214.6696
21030,6/27/2013,180209.3164
28470,12/31/2016,180171.6287
4594,7/2/2015,180171.293
3898,7/7/2016,180138.8429
29089,9/11/2016,180138.4552
25271,2/10/2016,180130.4157
14633,8/7/2013,180102.1821
14313,1/9/2016,180087.0577
23821,4/6/2015,180073.4922
9510,12/15/2012,180025.202
18202,6/4/2012,179988.6246
19835,1/19/2012,179982.1503
2039,2/21/2014,179976.6699
9124,12/17/2016,179948.2447
18789,4/29/2015,179922.9136
15176,11/3/2015,179913.906
11726,10/22/2016,179911.3467
5788,10/23/2017,179905.3426
18880,4/4/2011,179874.6389
15959,12/27/2014,179827.129
10829,4/19/2013,179803.6918
13333,2/24/2012,179802.8188
4312,1/10/2014,179797.7554
14738,1/8/2016,179769.5513
3315,6/27/2015,179755.8802
21916,12/19/2017,179702.8901
5811,7/17/2014,179687.1336
9103,4/4/2015,179656.4639
7497,8/11/2014,179617.5432
18610,1/26/2014,179612.9199
12054,10/24/2014,179606.1136
15928,3/21/2014,179590.92
10487,1/13/2016,179564.3165
16640,5/9/2015,179540.9907
19185,4/25/2011,179379.9458
11698,5/3/2012,179359.9747
29767,12/28/2011,179258.9396
19680,2/2/2016,179231.458
28569,3/4/2012,179202.6716
16154,1/4/2014,179140.2891
7841,3/14/2015,179128.6802
4479,9/25/2015,179114.442
3575,3/11/2015,179012.1651
23417,6/4/2013,178953.0663
6384,12/15/2012,178939.5659
8070,8/8/2017,178939.2855
29961,4/12/2013,178915.6871
28425,2/26/2014,178915.0123
12295,11/10/2014,178899.2377
27750,1/15/2013,178884.6641
29922,1/29/2015,178866.2456
4098,10/23/2014,178826.2586
9821,9/11/2011,178783.7335
7276,3/9/2013,178763.8258
12631,11/10/2017,178741.917
20593,4/19/2011,178729.6771
29491,4/12/2017,178716.2909
18755,1/30/2014,178682.0901
16252,6/15/2012,178653.0425
20588,10/9/2011,178641.8331
20098,9/17/2017,178626.944
5498,1/31/2014,178566.1739
9263,12/25/2014,178548.2386
10571,7/3/2015,178539.7699
21413,9/13/2012,178495.0653
21450,11/13/2013,178493.3625
14236,10/27/2017,178469.8685
3866,2/6/2014,178452.2496
22859,2/12/2015,178446.4118
28967,1/4/2012,178384.0289
2257,7/24/2017,178381.9243
16008,3/31/2015,178367.0214
24389,12/30/2017,178354.4294
3968,6/6/2015,178346.7427
1587,4/14/2015,178304.8959
15718,9/24/2016,178285.9531
16627,1/8/2017,178244.2094
2004,4/18/2012,178234.4775
23568,8/9/2016,178212.81
23152,9/25/2012,178194.5135
21639,2/23/2015,178190.718
15818,5/26/2011,178183.8059
8995,12/9/2014,178113.9334
886,11/30/2017,178112.0501
432,12/27/2017,178112.04
29288,1/12/2015,178082.1178
23309,4/2/2013,178072.5198
20782,10/17/2016,178051.3028
15929,12/10/2015,178040.2043
26771,6/26/2014,178035.3366
10268,9/7/2012,178021.5188
3274,12/17/2016,178020.1392
6306,9/28/2015,177988.5191
17449,11/30/2014,177916.9102
28502,3/2/2013,177905.6922
3917,9/23/2015,177880.0915
27277,2/24/2013,177822.0963
5701,7/3/2014,177805.0262
6306,3/23/2012,177779.7677
24613,8/26/2015,177779.6538
1270,8/20/2012,177771.3521
11148,10/25/2014,177742.71
7120,1/7/2015,177740.7042
25904,5/30/2014,177738.4711
9183,2/17/2013,177713.8613
4263,12/15/2014,177650.5966
13649,6/9/2015,177638.1217
10410,8/6/2011,177626.1765
12954,8/28/2012,177607.5202
17724,4/30/2011,177546.4032
11054,2/6/2014,177522.4259
17495,11/11/2015,177517.3134
25800,1/10/2014,177506.2814
12214,2/6/2015,177502.9164
8055,10/7/2014,177473.0373
29647,4/30/2016,177460.3321
20588,8/2/2017,177450.3349
2992,2/16/2017,177428.7962
29851,2/7/2016,177400.8782
5721,12/2/2013,177396.8769
13424,9/5/2014,177380.8838
6697,5/28/2014,177351.719
12257,9/8/2013,177325.5273
14475,8/5/2015,177310.4377
21768,4/12/2013,177218.6296
18489,2/24/2013,177206.078
5110,5/10/2014,177136.7821
5829,8/12/2011,177126.335
27298,8/22/2017,177059.6881
26958,8/25/2012,177030.9676
4188,12/22/2016,177027.3205
8280,3/6/2011,177022.1969
22917,6/15/2017,177011.4084
27122,3/19/2016,176982.9145
28649,2/20/2014,176869.6556
29458,4/4/2015,176862.4878
27470,7/17/2015,176856.042
8888,1/17/2017,176812.1061
6741,7/5/2013,176803.7528
9751,7/6/2014,176721.4259
13104,3/26/2017,176719.8099
5418,12/21/2015,176714.6311
13870,10/15/2017,176710.4833
12840,2/19/2014,176659.5814
6276,6/20/2013,176576.8052
26595,2/5/2014,176551.7017
3194,6/9/2014,176551.3601
17822,3/3/2017,176530.3552
29352,12/1/2014,176517.2937
20829,1/3/2011,176502.8874
10513,5/22/2017,176497.879
14196,5/27/2011,176477.2415
14695,11/19/2013,176461.0098
5810,12/19/2016,176376.8804
1809,9/19/2013,176347.1914
24756,5/24/2012,176293.6271
10829,6/5/2014,176271.2415
27764,8/12/2016,176262.5158
5172,6/25/2016,176260.7711
29567,8/11/2014,176255.9719
27589,10/24/2017,176239.4622
6470,5/11/2016,176221.5772
6573,5/18/2012,176215.8828
11449,7/9/2015,176127.4504
17718,11/14/2015,176115.6005
11471,9/15/2014,176101.706
3391,7/20/2014,176081.8607
19329,9/5/2016,176070.3015
29918,5/10/2013,176028.3863
15849,12/5/2014,176023.4636
10444,4/12/2015,175953.7917
24959,1/14/2014,175952.0855
14996,2/16/2013,175935.2818
1421,6/13/2012,175919.9641
1744,11/17/2016,175917.2496
1406,10/29/2016,175898.5834
29353,4/16/2012,175889.2373
776,1/29/2017,175838.4425
27820,12/21/2015,175795.3544
14937,10/18/2011,175789.4789
23061,2/24/2017,175764.6235
29130,10/3/2016,175744.9981
14824,1/18/2016,175738.4769
17999,7/3/2016,175731.0461
20190,1/2/2016,175665.2603
3406,10/19/2013,175650.6192
26800,5/11/2017,175646.27
22436,1/6/2015,175604.4517
11974,6/10/2016,175597.7123
22803,10/28/2013,175550.6332
14878,8/18/2014,175492.1063
15480,6/22/2017,175479.3485
5299,4/27/2015,175446.5982
2794,8/2/2015,175443.3605
13338,10/8/2015,175434.2892
12690,10/29/2016,175426.1789
2509,6/15/2016,175401.2853
24816,9/29/2013,175392.1744
5042,9/11/2016,175391.2344
26839,4/25/2015,175367.3833
10282,7/3/2012,175361.0349
21747,6/20/2016,175338.3372
4394,12/1/2011,175309.9772
9014,2/17/2014,175308.8148
26232,6/3/2016,175298.3615
17172,6/3/2011,175297.326
9306,10/10/2014,175292.6129
14261,2/11/2011,175269.2123
3277,10/24/2014,175252.0541
15179,11/24/2016,175242.1599
6155,12/15/2016,175203.9566
26339,9/18/2013,175190.3682
24624,4/9/2017,175175.6669
18854,11/9/2015,175172.1834
20536,10/6/2014,175133.4354
4571,1/21/2017,175114.7187
28085,6/8/2015,175114.3439
17982,3/26/2016,175108.0285
19274,10/15/2017,175104.871
23408,5/12/2011,175094.4516
27750,3/27/2012,175050.4169
7315,8/28/2017,175026.8578
22174,2/19/2016,174985.0884
24710,5/4/2015,174978.339
19549,1/1/2011,174909.0479
18286,9/15/2015,174894.7757
13530,3/25/2015,174874.9585
7693,1/24/2013,174866.4905
20115,2/10/2013,174852.033
19209,4/6/2015,174837.7286
23551,3/5/2015,174790.4587
6000,4/24/2015,174787.351
22871,12/24/2015,174782.1808
14814,12/26/2016,174731.7344
7946,6/24/2016,174730.2945
14660,11/29/2013,174723.1383
24023,7/8/2017,174690.6102
16452,5/4/2012,174688.5618
3710,12/25/2017,174674.0329
19764,5/30/2014,174650.0434
29851,8/13/2014,174609.0123
7292,11/4/2017,174583.448
26449,6/15/2014,174569.3599
25816,2/5/2013,174563.4436
22853,11/17/2016,174550.5931
4526,7/18/2014,174526.7411
18886,1/18/2016,174525.2872
7532,8/20/2015,174521.8078
12300,5/2/2016,174500.3441
21380,5/13/2013,174497.8879
17186,1/6/2013,174495.9986
12734,10/2/2013,174492.6577
12552,8/21/2011,174476.6855
29558,12/7/2017,174448.3511
15182,9/11/2016,174435.772
27385,5/12/2015,174428.2438
10218,3/3/2014,174414.996
2072,2/24/2016,174412.9811
16923,3/26/2015,174398.6224
56,6/1/2015,174389.1103
12015,6/25/2012,174381.4219
14041,5/11/2014,174375.88
3299,7/4/2017,174370.9561
29458,2/8/2014,174364.6581
4200,6/23/2016,174344.5193
18934,4/21/2017,174326.5708
28474,12/31/2017,174273.7968
25809,1/29/2011,174272.6206
6335,12/31/2016,174265.378
21337,5/8/2014,174244.4779
15806,6/16/2016,174234.2632
7426,3/29/2017,174225.1935
13754,1/1/2014,174182.7708
28476,2/22/2012,174182.4992
26609,2/28/2015,174157.4971
12369,5/9/2011,174132.8257
21200,12/29/2016,174132.6056
6008,7/23/2014,174121.4175
5434,12/26/2011,174114.2607
1203,10/16/2017,174089.1391
10920,2/6/2013,174083.9133
10079,8/25/2014,174061.4624
14286,12/6/2017,174029.9708
2836,9/24/2017,174014.9152
20445,3/9/2015,174004.3928
23460,12/21/2013,173996.1011
8866,8/4/2013,173961.0656
29609,2/21/2017,173948.5675
7754,1/25/2011,173906.2552
11836,9/13/2016,173883.2022
11037,1/20/2014,173870.9332
28973,6/21/2015,173844.9482
19988,6/20/2016,173837.5674
9677,5/4/2013,173829.869
16327,6/24/2017,173819.3596
18084,12/3/2016,173807.0942
5968,9/10/2016,173800.1035
2239,4/12/2016,173785.2198
4323,8/28/2012,173767.5326
21519,5/15/2015,173738.4878
12468,7/27/2011,173735.113
11340,12/31/2015,173699.0976
18752,1/7/2016,173698.2358
2996,11/3/2011,173647.4484
28031,2/26/2014,173645.1122
24573,1/2/2016,173630.9225
27288,7/8/2013,173588.9431
18856,5/16/2015,173552.8049
21730,5/7/2016,173548.0462
27866,7/13/2016,173547.719
23070,6/16/2017,173540.4685
22376,9/19/2013,173532.8832
11866,1/10/2013,173507.6882
21430,11/21/2015,173453.4691
3197,7/3/2012,173435.3427
20941,5/31/2015,173364.5063
579,1/20/2014,173362.031
29898,12/9/2015,173353.5295
23004,9/20/2017,173351.1048
29888,3/16/2013,173334.2505
13933,2/14/2015,173306.6291
3336,3/28/2013,173188.9919
12369,12/30/2014,173187.6681
26562,2/27/2014,173184.9391
1364,8/9/2017,173167.0319
9016,11/28/2016,173129.6444
18789,12/27/2014,173089.4217
7158,5/31/2016,173081.4243
12254,12/18/2016,173064.9193
18998,7/31/2016,173059.8369
17541,8/20/2012,173043.5458
28765,8/11/2016,172933.6376
24876,2/26/2015,172929.9273
24562,5/5/2014,172912.2729
9573,12/11/2011,172905.7435
6155,2/26/2012,172884.7012
1261,7/25/2011,172878.0327
13022,4/10/2016,172838.3014
10368,2/16/2013,172830.6204
20384,9/28/2013,172827.2201
23344,2/8/2013,172821.797
5527,12/25/2017,172801.5615
15200,9/18/2011,172784.4383
934,10/13/2013,172744.3655
27566,1/10/2014,172717.8319
24029,11/7/2013,172714.6598
22463,8/1/2013,172681.2798
4735,11/20/2017,172652.2259
13263,5/19/2013,172600.6733
17872,3/10/2015,172593.0456
23442,9/7/2014,172581.4079
16368,5/8/2011,172567.6304
8910,1/11/2015,172563.0937
14554,3/20/2017,172540.2352
24980,5/27/2012,172525.3891
580,4/6/2011,172480.5418
3774,6/25/2012,172462.7326
352,9/4/2012,172456.6419
20615,9/13/2013,172435.5185
1777,1/10/2014,172433.0344
21064,11/14/2014,172425.8386
27781,1/7/2015,172407.8132
29583,6/29/2013,172373.2779
3286,8/14/2014,172341.6833
20400,7/14/2013,172330.2546
14691,9/8/2014,172267.2294
13993,5/29/2015,172226.2649
1903,7/19/2017,172197.5856
3040,1/14/2014,172178.5541
12349,4/24/2014,172097.6429
24409,4/2/2012,172076.8167
11816,7/16/2013,172036.311
22888,6/29/2012,172033.5399
23955,6/6/2016,171906.196
7461,3/15/2014,171901.769
17597,10/24/2014,171880.9307
25503,9/14/2015,171806.8157
3477,10/19/2017,171787.8093
22603,4/19/2013,171777.8478
21187,8/29/2014,171755.4612
21005,12/25/2017,171718.8441
23451,5/29/2017,171712.915
2378,11/29/2013,171701.2388
21475,6/3/2015,171698.8188
26998,8/3/2013,171665.8253
18279,4/27/2016,171630.4209
1078,6/14/2015,171600.8201
24028,9/28/2012,171575.5147
16490,10/25/2012,171574.6656
10500,11/18/2017,171565.4815
4189,4/11/2014,171550.716
23722,1/10/2017,171533.818
14978,8/28/2011,171514.9677
11009,6/21/2013,171481.9137
1922,1/16/2016,171453.6967
28013,4/30/2014,171452.3326
7209,11/18/2011,171442.1648
5009,7/28/2013,171429.1992
18377,6/29/2014,171420.246
11780,9/8/2013,171392.623
28813,8/16/2016,171375.056
26824,8/20/2016,171353.7922
9551,5/19/2012,171327.2836
18200,12/3/2017,171324.3641
6572,12/17/2014,171319.8147
19247,8/17/2017,171305.3662
19271,12/8/2013,171277.3827
26634,11/5/2013,171232.2027
13533,4/12/2017,171221.0028
6547,2/13/2016,171190.9787
10513,11/9/2015,171186.5298
26102,7/15/2012,171173.6571
9034,9/25/2011,171158.4991
3441,11/2/2017,171099.7614
4867,9/19/2015,171087.965
4753,7/20/2015,171029.1985
10604,11/18/2013,171020.9528
383,9/18/2011,170999.9064
3940,12/20/2015,170974.9114
22118,8/20/2012,170973.9075
13772,9/10/2016,170966.141
1958,2/26/2011,170965.5403
309,10/29/2016,170959.255
17333,8/24/2016,170956.3324
18593,12/18/2017,170952.4785
20920,4/5/2017,170930.4043
19937,1/12/2013,170927.3386
12192,6/27/2014,170917.9476
25405,1/22/2015,170915.4549
1858,2/27/2012,170877.2396
14516,9/10/2011,170875.5389
17676,7/8/2015,170820.2946
15841,7/18/2013,170796.6745
862,6/18/2017,170790.0408
2863,6/16/2011,170781.8835
14735,8/21/2012,170754.2223
13631,11/19/2013,170732.6811
21651,12/26/2016,170727.3908
2108,8/25/2013,170716.9873
5856,9/30/2013,170663.5115
4262,9/22/2017,170640.5637
16054,4/29/2013,170630.3017
13345,8/14/2013,170617.0598
18682,3/30/2013,170578.0523
5624,3/13/2016,170576.6223
3908,11/8/2017,170539.7619
3491,1/27/2014,170494.517
8170,12/23/2014,170477.0844
19393,9/27/2016,170467.9034
26439,12/6/2017,170427.8916
26377,7/15/2017,170425.8467
8386,6/27/2015,170398.2213
11301,11/11/2012,170395.1091
971,10/11/2013,170295.8819
20818,1/23/2016,170280.8086
5999,10/6/2012,170276.6522
23642,10/12/2017,170267.2198
3413,8/15/2013,170242.651
11672,6/17/2014,170219.7598
3465,6/7/2013,170213.213
18307,12/7/2017,170171.0906
13795,9/7/2012,170159.6541
21970,4/4/2011,170152.5524
25817,6/27/2011,170105.1662
6804,10/2/2017,170099.0714
16803,12/1/2011,170095.3271
27458,1/31/2017,170026.7873
23386,10/16/2016,169973.8706
6123,7/16/2016,169973.0945
24498,5/9/2014,169950.3991
23320,4/15/2017,169947.0286
23659,6/19/2014,169945.6514
28158,5/21/2017,169889.6343
9551,6/5/2017,169869.5258
29694,3/8/2017,169863.2499
23222,3/6/2016,169846.0436
16539,9/22/2015,169842.5916
27192,10/21/2013,169828.4601
5331,3/29/2016,169828.4354
22407,8/31/2017,169819.2031
9018,9/19/2017,169784.9701
25459,9/22/2015,169763.8993
21337,5/16/2012,169747.4149
14316,5/2/2013,169734.5482
5121,12/7/2016,169709.7293
18728,3/27/2016,169699.8275
16574,10/25/2017,169697.6395
16945,7/19/2017,169661.3331
17526,9/1/2016,169629.2868
29823,3/18/2017,169579.3754
17608,8/22/2017,169514.6259
27666,2/10/2017,169477.5314
10158,1/29/2015,169449.8897
912,1/21/2015,169424.0255
26938,5/2/2013,169394.031
22744,1/21/2013,169381.0966
15255,6/19/2012,169363.0508
14108,8/3/2011,169342.6156
224,12/25/2016,169337.969
12728,1/24/2014,169337.0598
22744,8/26/2015,169322.0021
2243,5/26/2014,169297.5722
9224,6/17/2016,169296.3416
14516,11/3/2012,169272.0883
17643,7/9/2015,169246.1738
20182,6/3/2012,169244.1206
1984,5/20/2013,169181.3916
2174,1/22/2017,169179.3912
11937,3/22/2011,169146.1195
24952,1/9/2015,169125.2917
7500,8/28/2011,169114.4779
4681,6/25/2016,169109.8367
6533,8/20/2014,169096.2568
18411,8/4/2012,169067.108
23422,10/13/2016,169063.1024
26299,3/18/2015,169050.1347
21583,8/7/2013,169041.2623
8308,12/26/2011,169040.0331
1332,10/20/2016,169031.3547
19972,11/9/2017,169017.7535
29903,3/26/2014,168994.4538
25070,11/16/2016,168989.2063
2753,9/6/2013,168889.2657
4629,8/14/2012,168849.3148
26553,10/8/2014,168837.6599
21186,11/30/2013,168812.5011
9947,6/19/2012,168803.7773
18592,7/23/2017,168772.3663
19267,12/26/2014,168736.224
28576,9/13/2015,168667.0228
4771,2/27/2016,168626.8233
14404,8/18/2014,168624.1816
160,6/11/2016,168554.4292
10362,9/24/2013,168513.268
12675,12/26/2013,168509.5674
19755,4/9/2011,168456.8065
16054,6/8/2016,168439.0741
22757,8/27/2017,168438.8931
20519,7/11/2014,168432.6387
8087,10/27/2011,168429.4677
5226,10/29/2012,168425.9244
8081,8/23/2012,168424.2282
17148,3/25/2017,168406.1277
6112,5/8/2013,168395.6226
1887,1/30/2013,168379.4152
1971,10/21/2012,168349.1458
21724,8/4/2015,168313.6219
56,10/18/2017,168287.7001
8317,4/10/2012,168279.3128
9525,4/23/2017,168273.4382
10532,4/26/2012,168264.8
28511,2/1/2013,168249.7517
29769,10/20/2013,168200.2316
21428,3/22/2017,168184.4815
1973,6/17/2016,168178.3197
13665,3/17/2017,168177.6252
7280,8/26/2013,168149.885
24079,11/2/2012,168095.2159
26824,6/14/2014,168093.7762
11155,5/20/2015,168087.8697
5810,6/11/2017,168083.5307
20235,6/2/2017,168053.8944
17846,8/3/2017,168024.4514
19269,8/31/2014,167988.6803
557,4/13/2017,167960.4682
4253,6/23/2011,167953.4794
16301,8/24/2016,167942.5269
20144,4/8/2017,167921.7119
24176,8/9/2016,167918.8973
9723,3/4/2013,167900.662
10682,3/21/2016,167891.4787
9963,8/22/2016,167826.5091
8037,11/25/2014,167809.0923
29057,8/17/2012,167806.7705
28463,4/13/2011,167778.627
8907,2/9/2017,167775.5227
18440,5/25/2013,167770.654
12610,6/1/2015,167759.8338
27607,2/12/2012,167726.291
25446,8/21/2012,167712.9476
27736,3/29/2011,167704.3154
22791,7/1/2013,167695.1622
1406,5/23/2014,167694.4394
19383,12/20/2015,167654.44
11504,11/27/2015,167652.3087
14662,9/18/2014,167611.9621
28813,7/7/2017,167584.7148
19209,1/4/2013,167576.6525
21156,10/5/2017,167575.2046
18345,12/3/2013,167570.3812
24584,11/6/2013,167517.6088
8492,10/13/2017,167449.8362
23287,11/12/2015,167427.8027
27685,7/8/2013,167421.4207
17823,6/10/2015,167406.4436
10487,11/10/2012,167368.6926
23607,5/29/2012,167363.1553
5767,11/3/2012,167353.2066
12199,4/28/2016,167346.0493
21461,2/4/2015,167342.8254
25976,1/22/2017,167315.7386
11991,10/7/2013,167297.2502
24599,12/28/2012,167296.9477
17156,9/27/2012,167282.1917
10102,6/16/2012,167270.5424
16991,12/15/2013,167269.3744
20576,5/26/2014,167244.777
24197,8/19/2013,167240.5147
3413,8/8/2012,167226.7507
24627,12/20/2014,167211.9438
16821,11/24/2015,167195.3839
11278,7/16/2016,167188.252
15473,12/30/2014,167099.2977
20269,2/22/2015,167093.5654
11031,1/22/2011,167072.7436
2714,2/19/2017,167072.6332
911,12/26/2014,167067.2612
21193,2/2/2013,167054.8294
8058,1/28/2014,167050.0823
14152,5/6/2012,167030.4258
2018,8/30/2014,167008.2774
14243,1/18/2014,166994.621
11934,9/26/2014,166978.7676
5138,3/8/2014,166970.8144
19427,10/17/2014,166965.8842
1792,9/20/2015,166959.0686
12525,3/24/2011,166927.4151
14802,8/8/2017,166893.8772
17630,5/18/2014,166874.9582
13287,9/10/2013,166817.6303
22980,1/7/2017,166793.5352
19347,12/12/2014,166791.8021
807,7/25/2015,166781.178
28108,5/6/2017,166764.5889
8630,4/1/2012,166730.3222
15486,8/18/2014,166699.4919
8253,6/19/2017,166697.581
20918,9/9/2013,166691.9065
7650,2/2/2016,166687.1498
27959,12/24/2016,166651.6099
13054,8/11/2014,166649.578
23880,10/12/2013,166648.464
15196,2/3/2012,166647.4048
9242,1/19/2014,166616.3023
23140,1/24/2016,166607.1655
6894,11/15/2015,166575.3445
15619,6/23/2015,166569.665
14678,6/4/2017,166550.6576
5503,10/24/2013,166538.4737
4570,7/29/2015,166532.8203
26749,8/5/2016,166462.3135
9129,1/9/2014,166461.2326
19132,5/15/2011,166451.8071
26894,10/24/2012,166416.9416
23311,10/23/2012,166400.5426
10066,9/17/2016,166392.1568
17186,4/2/2012,166378.0363
2737,8/7/2012,166367.8274
28695,8/26/2015,166326.1961
11739,3/1/2015,166320.6162
12981,2/16/2015,166318.0827
19745,4/16/2014,166307.8621
29621,5/1/2016,166290.3727
12634,6/16/2016,166274.6974
16631,6/18/2012,166258.079
15892,12/10/2011,166195.0709
8064,7/26/2013,166155.1873
20003,8/7/2015,166151.099
13533,2/21/2016,166133.5744
13342,2/27/2016,166104.174
1625,3/9/2014,166079.4934
12619,2/29/2016,166016.9141
27627,5/19/2017,166014.5098
12166,8/7/2017,166009.1364
14316,8/14/2014,165995.5905
7282,7/18/2015,165980.7994
12784,2/19/2015,165977.7879
25690,7/22/2014,165976.8592
22754,12/20/2011,165975.3934
11726,11/22/2014,165967.1859
4358,5/5/2013,165950.0072
12358,3/13/2014,165938.2851
9967,1/13/2017,165905.0006
24298,9/29/2015,165880.7829
21260,12/18/2014,165853.6245
27601,9/16/2016,165831.5697
16769,2/8/2015,165777.1529
29247,4/6/2013,165763.0081
20325,4/28/2014,165761.6262
22550,12/25/2017,165687.7325
716,1/8/2015,165672.0334
4510,7/26/2017,165618.0237
971,2/21/2011,165594.9757
8317,8/9/2013,165588.9982
18477,4/29/2013,165570.5699
6460,10/21/2015,165569.1285
12204,7/25/2012,165565.6876
18354,4/30/2016,165560.0387
14636,8/31/2017,165556.3938
13239,1/7/2014,165540.5055
24162,3/28/2016,165509.7037
8596,9/29/2015,165507.5214
24817,7/7/2013,165478.4593
20646,4/2/2015,165467.0567
2810,3/20/2013,165416.2597
29421,5/27/2011,165386.6416
18541,8/16/2013,165386.2836
8995,7/2/2012,165384.9554
29002,3/19/2017,165321.1684
21384,2/1/2016,165274.6705
13743,3/22/2012,165268.0345
17960,4/21/2012,165236.4367
19749,5/10/2012,165220.4679
16507,10/16/2013,165216.5745
8651,7/24/2012,165204.1889
27200,11/15/2016,165202.6315
31,6/28/2016,165202.0705
15013,1/28/2015,165197.9534
27191,10/7/2012,165181.8579
7784,3/3/2014,165166.327
22853,1/25/2015,165163.9877
22250,9/9/2011,165143.4811
5066,12/30/2013,165132.5221
10720,11/7/2016,165116.3329
24584,10/26/2014,165100.7737
5286,5/20/2014,165070.9623
588,5/20/2014,165067.6769
5434,1/5/2014,165066.9853
4410,6/11/2017,165060.1341
23973,3/18/2015,165054.5408
23779,10/16/2017,165052.7129
3930,8/30/2016,165044.254
26641,12/20/2014,165015.7643
20955,11/7/2016,165004.1593
9636,1/4/2013,164992.0126
534,12/21/2017,164978.7326
25926,11/5/2017,164965.5158
14647,4/6/2015,164920.3993
29056,9/18/2016,164915.3967
17733,7/30/2014,164905.3296
18381,4/14/2013,164890.8908
9333,5/12/2016,164836.1504
1100,12/15/2015,164801.3108
1863,11/26/2014,164782.1633
14611,7/2/2014,164761.783
6351,3/30/2013,164728.2286
27738,7/11/2016,164725.0584
12464,2/22/2011,164673.7383
4699,5/15/2014,164665.7021
27273,2/17/2013,164664.285
407,1/26/2016,164654.038
20013,11/19/2011,164640.5084
5620,5/10/2015,164634.2042
3712,12/6/2013,164618.8595
9206,5/22/2014,164604.9938
964,1/28/2014,164587.891
20913,1/17/2017,164587.7357
308,2/29/2012,164571.2596
17751,10/24/2015,164552.665
1999,9/29/2013,164545.019
23057,12/9/2015,164532.8647
10080,4/18/2016,164531.9832
21170,2/22/2017,164529.0088
6729,7/18/2011,164513.0593
9908,7/15/2017,164489.4295
21478,1/6/2012,164482.6243
22090,4/18/2015,164462.7842
27767,5/11/2014,164446.2845
28197,9/4/2011,164441.5792
6166,2/2/2012,164430.3891
5515,5/28/2012,164404.1442
480,12/5/2015,164399.3172
29256,4/14/2015,164388.8838
8817,12/1/2014,164386.3729
12359,4/30/2017,164384.6402
2875,6/23/2012,164361.2547
2430,10/9/2012,164350.2077
11404,11/29/2012,164333.9678
13857,11/5/2012,164321.9251
9034,6/22/2012,164307.3755
25333,11/12/2017,164261.617
9525,6/10/2012,164259.9091
12016,7/3/2015,164208.4948
18633,2/18/2015,164205.8732
1093,6/29/2014,164196.1456
20588,11/15/2013,164189.4963
997,10/15/2014,164189.0895
26575,11/7/2017,164183.5877
21947,9/6/2017,164175.1504
19776,1/30/2017,164134.2687
10348,8/23/2014,164126.1047
29057,6/11/2013,164101.2092
27428,7/19/2016,164083.6212
1430,6/11/2014,163966.2964
17140,7/10/2017,163956.4168
24197,2/21/2014,163921.8306
13755,7/23/2012,163920.8093
16561,9/10/2011,163915.7319
7430,12/18/2012,163895.9368
13685,8/2/2013,163894.8866
27761,5/31/2011,163879.4522
1865,10/23/2017,163822.0634
28768,4/27/2015,163788.7387
23511,4/7/2016,163775.7184
26719,12/3/2015,163756.748
12918,11/30/2013,163745.7093
28666,6/10/2015,163709.3508
19948,6/14/2013,163705.0596
3462,4/20/2013,163700.6952
6818,3/20/2012,163689.5442
22939,8/4/2017,163678.5056
13046,11/8/2015,163650.759
29688,2/21/2017,163647.2773
5412,5/13/2014,163625.6439
25941,7/5/2015,163602.0234
11872,8/27/2017,163566.3228
28037,12/7/2012,163557.0639
15256,7/15/2017,163550.0764
13780,3/13/2012,163532.9066
4170,5/7/2011,163524.4442
658,10/24/2017,163514.735
28670,8/19/2016,163505.8807
29532,2/28/2014,163465.6628
19491,4/23/2016,163459.0479
15003,10/24/2015,163450.3529
28536,2/3/2015,163448.152
572,12/6/2012,163424.8561
13282,11/21/2011,163395.0358
16169,12/4/2013,163387.0862
1720,10/5/2014,163386.0904
21398,6/8/2014,163369.1147
28557,11/20/2016,163367.2893
29503,1/19/2017,163360.572
24776,4/30/2014,163325.6085
969,7/18/2012,163319.5311
4474,6/9/2011,163312.122
23954,9/30/2015,163298.764
28650,5/28/2016,163276.3047
27211,2/15/2012,163246.5626
11258,2/21/2011,163218.064
15046,2/7/2017,163209.1757
2318,12/4/2016,163187.2567
29297,5/8/2017,163154.7388
15120,3/23/2015,163148.6189
8519,8/25/2013,163134.7575
12456,3/14/2016,163132.5671
27766,5/29/2017,163117.7622
12111,11/1/2014,163110.6771
14627,3/23/2011,163084.5566
350,4/3/2017,163036.8962
8439,4/28/2012,163019.1674
29084,12/10/2011,163013.1389
17684,10/15/2017,162992.873
11000,10/23/2017,162987.8094
23835,8/12/2015,162981.4175
28902,9/9/2011,162979.0265
26895,10/28/2016,162908.8857
15653,6/19/2017,162908.2278
356,6/28/2016,162891.3734
2933,1/15/2017,162880.5617
22640,3/17/2012,162878.6358
24599,10/29/2016,162865.9599
14318,12/27/2014,162830.458
29248,5/10/2013,162820.7438
4034,11/14/2015,162819.774
15503,7/6/2017,162817.0078
5790,4/14/2014,162801.852
3013,10/29/2015,162791.8589
14651,10/17/2014,162748.5122
18862,11/16/2011,162745.88
26017,12/2/2017,162743.2561
